#  UGC obs  band epsilon Sky FWHM  n  mu_e  r_e  r_e  mu_0     h    h   B/D
#                                            ''  kpc          ''  kpc   B/D
10888  069  R  0.304  20.16  1.3 0.5 19.38  2.3  1.0 19.44   8.2  3.4  0.12
10888  031  R  0.304  20.64  1.9 1.2 18.93  1.8  0.7 19.83  10.2  4.2  0.15
10888  034  R  0.304  20.36  1.7 1.0 18.73  1.8  0.7 19.80  10.0  4.1  0.17
10888  045  R  0.304  20.31  1.7 0.8 18.74  1.8  0.7 19.67   9.3  3.8  0.15
10888  097  H  0.304  13.39  2.0 1.2 16.34  1.8  0.7 17.35   8.8  3.6  0.22
11064  018  B  0.295  21.12  1.7 1.0 21.81  2.3  1.1 21.99  25.7 11.9  0.02
11064  017  R  0.295  20.03  1.6 1.3 20.57  3.0  1.4 20.45  23.1 10.7  0.03
11091  049  B  0.391  22.54  2.9 0.3 22.86  1.3  0.6 21.58  10.4  4.9  0.01
11091  048  V  0.391  21.59  2.6 0.3 22.09  1.7  0.8 20.82  10.1  4.8  0.01
11091  047  R  0.391  21.19  2.6 0.3 21.44  1.5  0.7 20.27   9.1  4.3  0.01
11091  526  H  0.391  13.65  1.5 0.7 19.03  2.2  1.0 18.17   9.2  4.4  0.04
11236  042  B  0.474  21.83  1.7 0.7 21.71  1.9  0.7 20.54  12.1  4.7  0.01
11236  071  V  0.474  21.32  3.0 1.0 22.06  3.6  1.4 19.72  11.2  4.3  0.02
11236  041  V  0.474  20.79  1.9 1.0 20.99  2.8  1.1 19.72  11.5  4.4  0.04
11236  072  R  0.474  20.01  1.9 0.5 20.98  3.1  1.2 19.09  10.6  4.1  0.02
11236  040  R  0.474  20.67  2.3 1.5 21.06  4.5  1.7 19.19  11.0  4.2  0.07
11236  595  H  0.474  13.65  1.3 0.7 16.95  1.5  0.6 16.20   8.0  3.1  0.03
11236  103  H  0.474  13.60  1.8 1.2 17.65  2.2  0.8 16.28   8.3  3.2  0.04
11562  026  B  0.107  21.12  1.6 0.8 21.20  2.0  0.7 20.84  12.9  4.5  0.03
11562  025  R  0.107  20.18  1.8 0.9 19.63  1.9  0.7 19.21  10.1  3.6  0.04
11585  086  B  0.189  21.31  1.6 0.7 21.61  1.9  0.7 20.97  16.9  6.6  0.01
11585  085  V  0.189  20.69  1.6 0.7 20.47  1.9  0.7 20.02  15.2  5.9  0.02
11585  084  R  0.189  20.37  1.8 0.9 19.89  2.0  0.8 19.47  14.9  5.8  0.02
11765  058  B  0.437  22.28  2.0 2.3 23.93  2.9  1.3 21.10   8.4  3.7  0.02
11765  074  R  0.437  20.00  0.9 0.6 20.71  1.4  0.6 19.68   6.8  3.0  0.03
11765  057  R  0.437  20.97  1.6 1.1 20.68  1.1  0.5 19.67   6.9  3.0  0.02
12164  088  B  0.428  22.04  2.9 1.3 21.97  2.4  1.5 21.89  13.8  9.0  0.06
12164  087  V  0.428  21.25  2.8 1.8 21.30  3.1  2.0 21.08  13.4  8.7  0.11
12164  086  R  0.428  20.89  0.3 0.7 19.56  2.2  1.5 20.32  11.6  7.5  0.12
12164  505  H  0.428  13.62  2.2 1.8 17.59  2.3  1.5 18.14  11.4  7.4  0.17
12224  060  B  0.059  22.14  1.6 0.7 22.06  1.7  0.4 21.84  23.2  5.5  0.01
12224  059  V  0.059  21.10  1.5 0.7 21.31  1.9  0.5 20.97  20.2  4.8  0.01
12224  058  R  0.059  20.73  1.5 0.7 20.81  2.2  0.5 20.45  18.9  4.5  0.02
12224  571  H  0.059  13.61  2.5 0.6 18.08  1.6  0.4 18.10  15.6  3.7  0.02
12303  081  B  0.190  22.40  1.7 1.5 22.15  9.4  5.0 23.15  21.3 11.2  1.11
12303  080  V  0.190  21.37  1.3 1.7 21.11  8.9  4.7 22.71  22.4 11.8  1.66
12378  060  B  0.455  22.29  1.5 0.5 21.39  0.9  0.4 20.76  17.8  7.4  0.00
12378  059  V  0.455  21.27  1.7 0.6 20.69  1.0  0.4 19.91  15.4  6.4  0.00
12378  058  R  0.455  20.96  1.5 0.6 19.74  1.0  0.4 19.36  13.8  5.8  0.01
12378  355  H  0.455  14.10  1.3 0.6 16.73  1.1  0.5 16.67  10.7  4.5  0.01
12834  051  B  0.482  22.24  1.5 0.9 20.78  2.7  1.0 21.03  23.9  8.6  0.03
12834  041  B  0.482  20.86  2.2 0.8 21.08  3.3  1.2 21.08  25.9  9.3  0.03
12834  042  B  0.482  20.87  2.3 0.8 21.13  3.4  1.2 21.10  26.4  9.5  0.03
12834  050  V  0.482  21.19  1.5 0.9 19.69  2.8  1.0 20.01  21.3  7.6  0.04
12834  039  V  0.482  20.48  1.2 0.8 19.81  3.2  1.1 20.00  21.0  7.5  0.05
12834  040  V  0.482  20.49  2.4 0.9 20.13  3.5  1.3 20.02  21.3  7.6  0.04
12834  049  R  0.482  20.91  1.0 0.8 19.00  2.9  1.0 19.36  20.0  7.2  0.05
12834  037  R  0.482  20.23  1.9 0.9 19.18  3.1  1.1 19.39  20.2  7.2  0.05
12834  038  R  0.482  20.23  1.9 1.0 19.30  3.3  1.2 19.41  20.5  7.3  0.06
12834  400  H  0.482  13.75  1.0 1.4 16.37  3.1  1.1 16.85  19.8  7.1  0.08
