#    ID      VHEL       FLX      FLXC        mI
   3511    3563.0     13.33     13.56     11.52
   3539    3309.0      8.45      8.61     13.22
   3540    1943.0      3.63      3.68     14.49
   3553    5233.0      2.27      2.52     14.00
   3574    1441.0     39.82     41.19     11.13
   3581    4965.0      9.54      9.75     12.69
   3593    6702.0      3.95      4.02     12.64
   3606    3988.0      7.07      7.17     13.43
   3627    6282.0      5.36      5.43     13.17
   3652    4537.0      6.31      7.82     12.24
   3653    2227.0     19.89     20.27     10.37
   3693    2254.0     23.23     34.21     10.62
   3694    4772.0      8.01      9.44     14.21
   3717    4187.0      4.41      4.56     11.93
   3749    1154.0      4.95      5.03     13.55
   3759    4425.0     13.96     14.44     11.51
   3791    5079.0      7.84      8.77     13.69
   3799    5933.0      4.72      4.76     13.24
   3804    2869.0     14.32     14.64     11.53
   3808    2388.0     11.18     11.98     13.88
   3822    7116.0      7.61      8.88     12.84
   3834    2033.0     31.60     32.03     11.63
   3843    5277.0      2.74      2.99     14.83
   3872    3944.0     17.97     23.46     12.09
   3873    4468.0     12.05     14.40     12.62
   3909     945.0     17.24     17.83     13.21
   3919    4867.0      4.80      4.87     14.17
   3922    8787.0      3.95      4.00     13.60
   3941    4766.0      5.85      6.77     14.43
   3943    3529.0     11.30     11.45     13.25
   3944    3899.0      7.23      8.96     12.99
   3949    6384.0      3.34      3.38     13.09
   3967    5875.0      5.26      5.34     14.83
   3979    4062.0      8.88      9.02     12.88
   4024    1717.0      5.12      5.19     13.22
   4029    4418.0     12.13     16.06     12.66
   4040    4796.0      9.08     10.95     12.95
   4043    3405.0      9.08      9.27     12.79
   4044    4632.0      4.35      5.04     13.64
   4059    6571.0      6.78      6.87     13.89
   4065    7479.0      9.39      9.49     13.24
   4078    1862.0      2.51      2.57     13.17
   4096    4626.0      5.21      6.13     13.09
   4128    5977.0      5.78      5.89     12.37
   4132    5208.0      9.49     11.33     12.02
   4169    1588.0     26.13     26.52     12.55
   4226    7913.0      5.13      5.27     12.81
   4252    6126.0      5.93      6.05     13.94
   4256    5249.0     12.64     17.27     11.43
   4258    3122.0      5.16      5.25     14.35
   4275    6300.0      3.04      3.56     12.56
   4277    5461.0     17.87     18.94     12.27
   4278     557.0     46.57     47.55     11.97
   4301    5964.0      3.54      4.01     12.96
   4374    3985.0      8.09     10.01     12.47
   4464    5264.0      3.72      4.34     13.70
   4484    2156.0      4.17      5.98     11.27
   4502    3288.0      7.38      7.47     13.83
   4503    3477.0     14.78     21.82     11.47
   4514     693.0     18.98     19.10     12.79
   4575   12919.0      3.26      3.64     13.86
   4607    6183.0      2.21      2.47     13.35
   4623    2885.0     14.28     15.06     11.48
   4628     777.0      4.32      4.38     14.09
   4640    3309.0     31.38     33.08     12.07
   4691    3915.0      7.88     13.29     10.33
   4695    2332.0     23.44     23.57     11.41
   4697    3733.0      4.56      4.62     14.59
   4719    5087.0      6.37      6.51     12.19
   4746    6038.0      5.32      6.11     13.45
   4747    4313.0      4.06      4.87     12.94
   4759    1323.0     37.72     38.72     10.56
   4824    2187.0      6.78      6.97     12.65
   4841    1127.0     24.21     24.88     12.21
   4844    4000.0     10.47     10.66     12.61
   4888    2258.0     25.63     26.08     11.31
   4895    7070.0      3.59      4.03     12.84
   4961    1583.0     86.86     88.47     11.88
   5029    4009.0      6.72      6.85     12.78
   5033    5208.0      2.73      2.76     14.71
   5034    3214.0     11.50     11.87     12.15
   5107    2009.0      7.54      9.42     14.00
   5115    2285.0     20.86     21.51     13.04
   5134    3339.0     17.55     23.10     11.74
   5140    4425.0     11.56     15.43     12.06
   5166    7008.0      9.89     11.47     11.96
   5183    1336.0     23.57     23.93     10.28
   5203    1541.0     14.71     15.04     13.71
   5210    4445.0     10.40     10.59     13.70
   5215    5484.0      8.09      9.69     12.21
   5218    3088.0      7.44      9.29     14.28
   5237    4690.0      3.32      3.36     13.62
   5238    1786.0     13.84     18.27     13.43
   5240    6932.0      6.03      6.69     14.30
   5244    3025.0      6.00      6.07     13.53
   5249    1877.0     17.14     22.19     12.93
   5250    4765.0     22.36     23.15     11.77
   5271    1442.0     36.01     56.93     12.07
   5286    5197.0      7.36      9.71     12.45
   5303    1411.0     19.32     21.13     10.57
   5316    1060.0     91.63     94.36     11.45
   5320    4142.0      6.82      8.40     12.77
   5328    1822.0      7.00      9.10     11.36
   5389    6976.0      5.07      5.16     13.82
   5396    5400.0      5.11      5.98     12.94
   5505    2813.0     16.95     21.96     12.18
   5520    3316.0     18.00     18.52     12.94
   5522    1220.0     42.68     43.18     13.11
   5554    1235.0      3.28      4.14     11.11
   5589    1159.0     33.54     33.96     11.82
   5599    5263.0      5.59      5.65     14.17
   5604    5064.0      5.39      5.58     12.47
   5607    6838.0      5.28      6.34     12.71
   5631    2121.0     17.11     17.59     12.43
   5651    5567.0      6.38      7.53     12.84
   5656    6664.0      6.14      7.16     13.14
   5670    6567.0      2.87      3.24     14.50
   5707    2799.0     13.04     13.17     13.15
   5708    1176.0     38.21     38.64     12.98
   5711    6257.0     12.91     18.31     11.81
   5717    1677.0     38.83     40.24     11.98
   5742    1305.0      5.83      7.37     11.41
   5794    2317.0     15.48     15.86     11.83
   5818    6255.0      4.89      5.74     13.93
   5858    6481.0      3.33      4.04     14.52
   5878     986.0     44.65     45.57     11.79
   5887    1281.0     22.13     33.18     11.12
   5897    2716.0     10.98     15.09     12.11
   5914    1305.0     17.21     24.54     11.13
   5937    3389.0      7.95      8.17     11.94
   5974    1039.0     15.35     19.14     13.33
   5995    1277.0     16.16     22.21     10.98
   5997    1261.0     50.72     51.42     11.64
   6028    1105.0     14.97     22.39     12.10
   6069    6675.0      6.35      6.58     11.81
   6080    2178.0      4.11      4.19     14.03
   6096    2995.0      8.30      8.52     12.18
