#     ID   radi    Sigma_HI
      45  102.00    0.00
      47    4.00    2.86
      47   10.00    3.09
      47   14.00    3.19
      47   18.00    3.07
      47   22.00    2.97
      47   26.00    2.95
      47   30.00    2.90
      47   34.00    2.80
      47   38.00    2.64
      47   42.00    2.49
      47   46.00    2.32
      47   50.00    2.18
      47   54.00    1.96
      47   58.00    1.76
      47   62.00    1.57
      47   66.00    1.37
      47   70.00    1.17
      47   74.00    1.00
      47   78.00    0.86
      47   82.00    0.72
      47   86.00    0.60
      47   90.00    0.47
      47   94.00    0.37
      47   98.00    0.27
      47  102.00    0.20
      47  106.00    0.14
      47  110.00    0.09
      47  114.00    0.05
      47  118.00    0.03
      47  122.00    0.02
      47  126.00    0.01
      47  130.00    0.00
      49    4.00    3.87
      49   10.00    3.62
      49   14.00    3.36
      49   18.00    3.13
      49   22.00    2.82
      49   26.00    2.51
      49   30.00    2.14
      49   34.00    1.72
      49   38.00    1.39
      49   42.00    1.08
      49   46.00    0.82
      49   50.00    0.61
      49   54.00    0.44
      49   58.00    0.30
      49   62.00    0.18
      49   66.00    0.09
      49   70.00    0.04
      49   74.00    0.01
      49   78.00    0.00
      50    4.00    2.96
      50   10.00    2.94
      50   14.00    2.92
      50   18.00    2.95
      50   22.00    2.87
      50   26.00    2.69
      50   30.00    2.43
      50   34.00    2.03
      50   38.00    1.69
      50   42.00    1.45
      50   46.00    1.11
      50   50.00    0.88
      50   54.00    0.71
      50   58.00    0.52
      50   62.00    0.41
      50   66.00    0.31
      50   70.00    0.23
      50   74.00    0.18
      50   78.00    0.14
      50   82.00    0.11
      50   86.00    0.08
      50   90.00    0.05
      50   94.00    0.04
      50   98.00    0.03
      50  102.00    0.02
      50  106.00    0.01
      50  110.00    0.01
      50  114.00    0.01
      50  118.00    0.01
      50  122.00    0.01
      50  126.00    0.01
      50  130.00    0.00
      50  134.00    0.00
      50  138.00    0.00
      50  142.00    0.00
      50  146.00    0.00
      50  150.00    0.00
      50  154.00    0.00
      50  158.00    0.00
      50  162.00    0.00
      50  166.00    0.00
      50  170.00    0.00

